Faculty	Lab_only	urls	RAs
"Aldao, Amelia"	TogetherCBT	/aldao/	No
"Auerbach, Randy"	The Translational Research on Affective Disorders and Suicide Laboratory	/auerbach/	Yes
"Cha, Christine"	Laboratory for Clinical and Developmental Studies 	/cha/	No
COMBO Study	Motherhood in COVID Study	/combo/	Yes
"Dumitriu, Dani"	Nurture Science Program	/dumitriu/	Yes
"Isacoff, Nora"	Diverse Intelligences	https://sites.google.com/view/noramisacoff	Yes
"Iyengar, Sheena"	"Authenticity, Choice, and Technology Lab"	/iyengar/	Yes
"Kao, Tina"	The Plasticity of Cognitive Maps Lab	/kao/	Yes
"Matz, Sandra"	Computational Behavioral Science Lab	/matz/	Yes
"Morris, Michael"	Cultural Psychology Lab	/morris/	Yes
"Noble, Kimberly"	The NEED Lab	/noble/	Yes
"Verdeli, Helen"	The Global Mental Health Lab	/verdeli/	Yes
